URL,Title,Rating,Total ratings,Type of restaurant,location,Opening Hours,Closing Hours,Image URL,dining service,Dining service2,Delivery service
https://www.google.com/maps/place/Kathmandu+Steak+House+Restaurant/data=!4m7!3m6!1s0x39eb18f81b06bf89:0x77c3fd812a054ca2!8m2!3d27.7135653!4d85.3103256!16s%2Fg%2F1hc11yqqy!19sChIJib8GG_gY6zkRokwFKoH9w3c?authuser=0&hl=en&rclk=1,Kathmandu Steak House Restaurant,4.5,802,Sports bar,Chaksibari Marg,Opens 8AM, Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipM0-LyIemkJaAcu3tuaRTrpFXZhV0vhsGB4iCTt=w138-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/The+Best+Kathmandu+Kitchen/data=!4m7!3m6!1s0x39eb18fd2375e4cf:0x43157997b8246e38!8m2!3d27.715688!4d85.3115404!16s%2Fg%2F11b5yyxqhs!19sChIJz-R1I_0Y6zkROG4kuJd5FUM?authuser=0&hl=en&rclk=1,The Best Kathmandu Kitchen,4.4,354,Restaurant,"Thamel-26,Bhagawatisthan", Opens 10AM, Closes 11PM,https://lh5.googleusercontent.com/p/AF1QipO-JkgB-uRETgnW-Au7XI8PBcmlA6Sspr708eeX=w122-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Sapporo+Japanese+Restaurant+Kathmandu/data=!4m7!3m6!1s0x39eb1915c359a2ab:0xac8c4c7d6ee2b6f2!8m2!3d27.727242!4d85.3299633!16s%2Fg%2F11d_70yhpm!19sChIJq6JZwxUZ6zkR8rbibn1MjKw?authuser=0&hl=en&rclk=1,Sapporo Japanese Restaurant Kathmandu,4.4,413,Authentic Japanese,Anamika Marg Baluwatar opposite Russian Embassy next to My Second Teacher Kathmandu, Opens 9AM, Closes 8:30PM,https://lh5.googleusercontent.com/p/AF1QipOu_gnM9_A24nGNieA_b5yHAQFCxcEgUWYPNkg2=w122-h92-k-no,Dine-in,Drive-through,No-contact delivery
https://www.google.com/maps/place/Yangling+Tibetan+Restaurant/data=!4m7!3m6!1s0x39eb18fcc6085943:0xabee5108aec7aefc!8m2!3d27.7159576!4d85.3071538!16s%2Fg%2F1thk_7_y!19sChIJQ1kIxvwY6zkR_K7HrghR7qs?authuser=0&hl=en&rclk=1,Yangling Tibetan Restaurant,4.5,"1,007",Tibetan,Kaldhara Marg, Opens 11AM, Closes 9PM,https://lh5.googleusercontent.com/p/AF1QipMRhmyebYdC6QCYIhl2YOmBtXR6b7OJMRdSFEc3=w137-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Kathmandu+Grill+Restaurant/data=!4m7!3m6!1s0x39eb18e2eb6a5285:0xca8ae8a5e738c601!8m2!3d27.7162317!4d85.3098124!16s%2Fg%2F11fzf9jvkv!19sChIJhVJq6-IY6zkRAcY456Xoiso?authuser=0&hl=en&rclk=1,Kathmandu Grill Restaurant,4.7,504,Grill,Chaksibari Marg, Opens 12PM, Closes 11PM,https://lh5.googleusercontent.com/p/AF1QipO1CT1SWjCAzVf5lZI8apGy5S9ng18EMErmnLtb=w122-h92-k-no,Dine-in,Drive-through,Delivery
https://www.google.com/maps/place/Third+Eye+Restaurant-+Best+Indian+Restaurant/data=!4m7!3m6!1s0x39eb18fcf1043c2b:0xf80d0a9fe4bccee6!8m2!3d27.7144278!4d85.3101163!16s%2Fg%2F11btm2q144!19sChIJKzwE8fwY6zkR5s685J8KDfg?authuser=0&hl=en&rclk=1,Third Eye Restaurant- Best Indian Restaurant,4.4,"1,198",Indian,J.P. Road, Opens 7AM, Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipOiyejxtizauaAUOULHBTVWOi_zQezBCFlzisqN=w138-h92-k-no,Dine-in,Takeaway,No-contact delivery
https://www.google.com/maps/place/Forest+%26+Plate/data=!4m7!3m6!1s0x39eb18fce1f0addd:0x1140945457f367bb!8m2!3d27.7151457!4d85.3109602!16s%2Fg%2F11c6zw7y7h!19sChIJ3a3w4fwY6zkRu2fzV1SUQBE?authuser=0&hl=en&rclk=1,Forest & Plate,4.7,608,Restaurant,Mandala Street, Opens 11AM, Closes 9:30PM,https://lh5.googleusercontent.com/p/AF1QipMSrrw-1DhPUmpnnovLVqBJpv5zkMHaqGn0Coae=w163-h92-k-no,Dine-in,Takeaway,No-contact delivery
https://www.google.com/maps/place/Nepalaya+Rooftop+Restaurant/data=!4m7!3m6!1s0x39eb1928b963e0d1:0xecbfbd14d4d2bc16!8m2!3d27.7119973!4d85.3113102!16s%2Fg%2F11j4w9s6x3!19sChIJ0eBjuSgZ6zkRFrzS1BS9v-w?authuser=0&hl=en&rclk=1,Nepalaya Rooftop Restaurant,4.7,492,Nepalese,"Inside Hotel Nepalaya, Thamel, Kwabahal-17", Opens 11AM, Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipP_vna4_p154VptORbqEsjxSB9lHEUrmmHaLr_r=w138-h92-k-no,Dine-in,Takeaway,No-contact delivery
https://www.google.com/maps/place/OR2K/data=!4m7!3m6!1s0x39eb18fce2fbafef:0xb6e9822f398bdb21!8m2!3d27.7147897!4d85.3109884!16s%2Fg%2F1td7g44q!19sChIJ76_74vwY6zkRIduLOS-C6bY?authuser=0&hl=en&rclk=1,OR2K,4.3,"2,151",Organic,Mandala Street, Opens 6:30AM, Closes 11PM,https://lh5.googleusercontent.com/p/AF1QipOY9VPjvhg9qNtupkf4Zhgo4td0GIVSHKewmjBp=w122-h92-k-no,Dine-in,Takeaway,No-contact delivery
https://www.google.com/maps/place/Places+Restaurant+and+Bar/data=!4m7!3m6!1s0x39eb18fcb901a9f3:0x6a3474739ee7d9ff!8m2!3d27.7156042!4d85.3104157!16s%2Fg%2F11b61rjfzm!19sChIJ86kBufwY6zkR_9nnnnN0NGo?authuser=0&hl=en&rclk=1,Places Restaurant and Bar,4.4,528,Vegetarian,Chaksibari Marg, Opens 9AM, Closes 11PM,https://lh5.googleusercontent.com/p/AF1QipOHRlTBdLkpdWog85f-Q47rLRAYeyO-w985xu-w=w122-h92-k-no,Dine-in,Takeaway,No-contact delivery
