URL,Restaurant name,Rating,Total ratings,Type of restaurant,location,Opening Hours,Closing  Hours,Image URL,dining service,Dining service2,Delivery service
https://www.google.com/maps/place/OR2K+pokhara/data=!4m7!3m6!1s0x399594e1dc0b5c73:0xf6a8253597c2aaf5!8m2!3d28.213463!4d83.957285!16s%2Fg%2F11cn9jh_22!19sChIJc1wL3OGUlTkR9arClzUlqPY?authuser=0&hl=en&rclk=1,OR2K pokhara,4.3,"1,005",Mediterranean,"Baidam Rd 6, Hallanchowk, Saleways Mart, Baidam Rd", Opens 8AM,Closes 11PM,https://lh5.googleusercontent.com/p/AF1QipN2cOAQ0rfFTt1o8ZQNMYPAMXXAcKWaIelCoIau=w122-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Rosemary+Kitchen+Pokhara/data=!4m7!3m6!1s0x3995951e027339cf:0x622516f3fa01ee8c!8m2!3d28.2130458!4d83.9577494!16s%2Fg%2F11bw3yk31x!19sChIJzzlzAh6VlTkRjO4B-vMWJWI?authuser=0&hl=en&rclk=1,Rosemary Kitchen Pokhara,4.4,530,Restaurant,Baidam Rd 17, Opens 7AM,Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipOddQJZRXJbXVXVIgYnRnC7NCOsDl1tNjz63Txr=w122-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Restaurant+Once+Upon+A+Time/data=!4m7!3m6!1s0x399594e1f7f9e84d:0x631b7aad946596b2!8m2!3d28.2103486!4d83.9571988!16s%2Fg%2F11clsncmwk!19sChIJTej59-GUlTkRspZllK16G2M?authuser=0&hl=en&rclk=1,Restaurant Once Upon A Time,4,133,Nepalese,6X64+4VP, Opens 9AM,Closes 10:30PM,https://lh5.googleusercontent.com/p/AF1QipMHSB5dccsSQr0jMFUGktDn4ey5x6wcXAvOq5Cy=w163-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Mo2%27S+Delights+Pokhara+%28+Momo+Delight+Pokhara+%2F+FIRST+FLOOR%29/data=!4m7!3m6!1s0x3995951ebc27df3d:0x3efd9a1de7061d22!8m2!3d28.2084313!4d83.957549!16s%2Fg%2F11cm0j53m3!19sChIJPd8nvB6VlTkRIh0G5x2a_T4?authuser=0&hl=en&rclk=1,Mo2'S Delights Pokhara ( Momo Delight Pokhara / FIRST FLOOR),4.4,641,Restaurant,Street No. 13, Opens 11AM,Closes 9:45PM,https://lh5.googleusercontent.com/p/AF1QipNQqjuiw2kQVLG4q_CW6GRnTmnYVF2YisTInf17=w122-h92-k-no,Dine-in,Kerbside pickup,Delivery
https://www.google.com/maps/place/Chilly+Bar+%26+Restaurant/data=!4m7!3m6!1s0x399594e18de837d7:0x97390453e180d685!8m2!3d28.214795!4d83.957966!16s%2Fg%2F11b6g9ldtd!19sChIJ1zfojeGUlTkRhdaA4VMEOZc?authuser=0&hl=en&rclk=1,Chilly Bar & Restaurant,4.4,846,Restaurant,, Opens 7AM,Closes 10:30PM,https://lh5.googleusercontent.com/p/AF1QipPObOnRNm9R6yhSjK8YDBf5VmQ-gjGL-_8xCdJY=w175-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Roadhouse+Cafe+Pokhara/data=!4m7!3m6!1s0x399594e1e88572fb:0xbd3e2c213e3576cc!8m2!3d28.2137523!4d83.9574043!16s%2Fg%2F11c7hfwk5w!19sChIJ-3KF6OGUlTkRzHY1PiEsPr0?authuser=0&hl=en&rclk=1,Roadhouse Cafe Pokhara,4.4,"1,106",Restaurant,, Opens 12PM,Closes 11PM,https://lh5.googleusercontent.com/p/AF1QipOF4XrJ2Tm08UmFd0pGfwjjybO6hzEgmFxFh0OI=w137-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/El+Bocaito+Espa%C3%B1ol/data=!4m7!3m6!1s0x399594e6bc40d1a3:0xd305e0d00cc72eb1!8m2!3d28.220034!4d83.9576003!16s%2Fg%2F11c742fgl2!19sChIJo9FAvOaUlTkRsS7HDNDgBdM?authuser=0&hl=en&rclk=1,El Bocaito Español,4.4,204,Spanish,Kahare 6, Opens 12PM,Closes 9PM,https://lh5.googleusercontent.com/p/AF1QipOR2bd7ZwHRQaNSimUwTLrefzO58_jfqU9XrzAy=w80-h106-k-no,Dine-in,Takeaway,No delivery
https://www.google.com/maps/place/Caffe+Concerto/data=!4m7!3m6!1s0x3995951b979b309b:0x2f5e979b93cd05c1!8m2!3d28.2060582!4d83.9605686!16s%2Fg%2F1ptw_nsfm!19sChIJmzCblxuVlTkRwQXNk5uXXi8?authuser=0&hl=en&rclk=1,Caffe Concerto,4.4,"1,084",Italian,, Opens 7AM,Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipMvO8GZ3T7ACLa5-ndrkfVof3ZUQ5D29fHO-wbl=w138-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Moondance+Restaurant+%26+Bar/data=!4m7!3m6!1s0x3995951eb96a2c3d:0x6793bc909713fbed!8m2!3d28.2081914!4d83.9575539!16s%2Fg%2F11b67bk6yv!19sChIJPSxquR6VlTkR7fsTl5C8k2c?authuser=0&hl=en&rclk=1,Moondance Restaurant & Bar,4.3,"1,211",Restaurant,Lakeside Rd, Opens 11AM,Closes 10:30PM,https://lh5.googleusercontent.com/p/AF1QipO__MESl_9qkvZiyorqb7PyMdw5dgQQG5OcBxEv=w104-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Byanjan/data=!4m7!3m6!1s0x3995951eec7e3a45:0xe8475d9e244d6d98!8m2!3d28.2089083!4d83.9570604!16s%2Fg%2F11cfbgfbd!19sChIJRTp-7B6VlTkRmG1NJJ5dR-g?authuser=0&hl=en&rclk=1,Byanjan,4.3,"1,044",Restaurant,Lakeside Rd 15, Opens 7AM,Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipMT4SS0xikykC7JbYt0QYIxqDPDHwsepb7CVLyd=w122-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Umbrella+Cafe+and+Healing+center/data=!4m7!3m6!1s0x399594e6a4f5e747:0xc7419c3c90bf52d7!8m2!3d28.2198147!4d83.9580846!16s%2Fg%2F11c1v98bw3!19sChIJR-f1pOaUlTkR11K_kDycQcc?authuser=0&hl=en&rclk=1,Umbrella Cafe and Healing center,4.3,291,Vegetarian,, Opens 7AM,Closes 10:30PM,https://lh5.googleusercontent.com/p/AF1QipOykPcsyAyxN7x_3wv4fvTH17gKRDVuzA4R9xP0=w122-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Little+Windows/data=!4m7!3m6!1s0x399594e1e11ea1e7:0x3891cde6b53e9d76!8m2!3d28.2133712!4d83.9575007!16s%2Fg%2F11fzgzgbgk!19sChIJ56Ee4eGUlTkRdp0-tebNkTg?authuser=0&hl=en&rclk=1,Little Windows,4.5,355,Restaurant,, Opens 8AM,Closes 10:30PM,https://lh5.googleusercontent.com/p/AF1QipPiSdbnGRtJn5wFq4RbweVbKtRgtKCBVXmSCTxV=w92-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Lotus+Corner/data=!4m7!3m6!1s0x399594e7a99a8fb1:0x388728721546dcd8!8m2!3d28.2215025!4d83.9556769!16s%2Fg%2F11cn0x51jh!19sChIJsY-aqeeUlTkR2NxGFXIohzg?authuser=0&hl=en&rclk=1,Lotus Corner,4,71,Restaurant,6XC4+J73, Opens 11AM,Closes 11PM,https://lh5.googleusercontent.com/p/AF1QipMHjax8q8iiHAdUDfZx2yo0Qy3DWM-eT7teTew-=w80-h106-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/French+Creperie/data=!4m7!3m6!1s0x399594e3deb2d8f1:0xfcfd00f27b1b2434!8m2!3d28.2170838!4d83.9587202!16s%2Fg%2F11g6wd8kb6!19sChIJ8diy3uOUlTkRNCQbe_IA_fw?authuser=0&hl=en&rclk=1,French Creperie,4.6,586,Restaurant,Baidam Rd, Opens 7AM,Closes 11PM,https://lh5.googleusercontent.com/p/AF1QipOYggIpfRAMN6aFvfiimfkqWt7JDE54Rd0Gk5o8=w138-h92-k-no,Dine-in,Takeaway,No delivery
https://www.google.com/maps/place/Utopia+Garden+%26+Snacks+Bar/data=!4m7!3m6!1s0x3995951e4b600103:0xd3f73a6c7b81b0c7!8m2!3d28.2108782!4d83.9560722!16s%2Fg%2F11c0rtt02v!19sChIJAwFgSx6VlTkRx7CBe2w699M?authuser=0&hl=en&rclk=1,Utopia Garden & Snacks Bar,4.8,583,Restaurant,, Opens 9AM,Closes 11PM,https://lh5.googleusercontent.com/p/AF1QipNd9Z5wJMyAEurJr4z-H-5HCs9wMYTMpZLgxf5T=w122-h92-k-no,Dine-in,Takeaway,No delivery
https://www.google.com/maps/place/Sun+Welcome+Restaurant/data=!4m7!3m6!1s0x399594e3e440cb47:0x382ba444942f9147!8m2!3d28.2210783!4d83.9569958!16s%2Fg%2F11c53jrnht!19sChIJR8tA5OOUlTkRR5EvlESkKzg?authuser=0&hl=en&rclk=1,Sun Welcome Restaurant,4.6,96,Restaurant,Baidam Rd, Closes 2:30AM  Reopens 8AM,Closes 9PM,https://lh5.googleusercontent.com/p/AF1QipPj6yLGdqWHpKop_76Xzjr-zj40orRL_7xvbmUL=w122-h92-k-no,Dine-in,Takeaway,No delivery
https://www.google.com/maps/place/Sharma%27s+unique+Restaurant/data=!4m7!3m6!1s0x399594e6adfd53fb:0x561677a114fff79d!8m2!3d28.2201185!4d83.9575806!16s%2Fg%2F11c5_w8nln!19sChIJ-1P9reaUlTkRnff_FKF3FlY?authuser=0&hl=en&rclk=1,Sharma's unique Restaurant,4.5,64,Restaurant,6XC5+22W,Opens 7AM,Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipMOgxHpHcQWAmes6NqWJpdMRGooKdy13V3fu7Xx=w122-h92-k-no,Dine-in,Takeaway,No delivery
"https://www.google.com/maps/place/Angan,+Pokhara/data=!4m7!3m6!1s0x3995944e665941b3:0x1e270118fb9aca00!8m2!3d28.2213973!4d83.9870979!16s%2Fg%2F12hp6clky!19sChIJs0FZZk6UlTkRAMqa-xgBJx4?authuser=0&hl=en&rclk=1","Angan, Pokhara",3.9,574,Vegetarian,New Pokhara Lodge Rd, Opens 7AM,Closes 8PM,https://lh5.googleusercontent.com/p/AF1QipPB_5Ph2_ynmTMtjNixowEZ_oovVObaSPAphSU=w122-h92-k-no,Dine-in,Drive-through,Delivery
https://www.google.com/maps/place/Mike%27s+Old+Kitchen/data=!4m7!3m6!1s0x3995951fce087265:0x5221d2ccdeac299c!8m2!3d28.2122233!4d83.9554633!16s%2Fg%2F1td3px40!19sChIJZXIIzh-VlTkRnCms3szSIVI?authuser=0&hl=en&rclk=1,Mike's Old Kitchen,4,246,Restaurant,Baidam Rd 6, Opens 10AM,Closes 9PM,https://lh5.googleusercontent.com/p/AF1QipPQVxRiAM_mLiSI8XE1eQ0cl1Y1Rxlc2xV2hWTP=w122-h92-k-no,Dine-in,Drive-through,No-contact delivery
https://www.google.com/maps/place/The+Old+Lan+Hua+Chinese+Restaurant+%26+Bar/data=!4m7!3m6!1s0x3995951b93eaf9e7:0xf5f1022f23c8dad9!8m2!3d28.2063435!4d83.9602454!16s%2Fg%2F11cn8skmvq!19sChIJ5_nqkxuVlTkR2drIIy8C8fU?authuser=0&hl=en&rclk=1,The Old Lan Hua Chinese Restaurant & Bar,4.2,863,Chinese,6X46+G3Q, Closes 4AM  Reopens 9AM,Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipMMCUXhy5xIVuxrkubAFk3zd_OWofsb-CoS8AjP=w122-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Pokhara+Halal+Food+Land/data=!4m7!3m6!1s0x3995951e8b430bb9:0x1add28aa6e4862e1!8m2!3d28.2097983!4d83.9573037!16s%2Fg%2F11c67xpsw0!19sChIJuQtDix6VlTkR4WJIbqoo3Ro?authuser=0&hl=en&rclk=1,Pokhara Halal Food Land,4,429,Restaurant,, Opens 11AM,Closes 2:30AM,https://lh5.googleusercontent.com/p/AF1QipMRgDx6XG4ZMADbKONkazJnZTM3nI-gmOWUaLGs=w163-h92-k-no,Dine-in,Drive-through,Delivery
https://www.google.com/maps/place/Margharita+Ristorante+Italiano/data=!4m7!3m6!1s0x399594e6ee108e2d:0x37c9d6f9befd592c!8m2!3d28.2206777!4d83.9574437!16s%2Fg%2F11f2grwzmm!19sChIJLY4Q7uaUlTkRLFn9vvnWyTc?authuser=0&hl=en&rclk=1,Margharita Ristorante Italiano,4.4,175,Italian,6XC4+7XG, Opens 12PM Wed,Closes 10:30PM,https://lh5.googleusercontent.com/p/AF1QipPs9fEwKr9Z3JjENjHdJ7RBrnzS9LOtB2cxZg0c=w122-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/%E0%A4%B8%E0%A5%8D%E0%A4%A5%E0%A4%BE%E0%A4%A8%E0%A5%80%E0%A4%AF+%E0%A4%AE%E0%A5%8B:+%E0%A4%AE%E0%A5%8B+%E0%A4%AD%E0%A5%8B%E0%A4%9C%E0%A4%A8%E0%A4%BE%E0%A4%B2%E0%A4%AF/data=!4m7!3m6!1s0x399594e1c5dec32d:0xbd76beecf284f52a!8m2!3d28.2140497!4d83.9566642!16s%2Fg%2F11dxs1q1j5!19sChIJLcPexeGUlTkRKvWE8uy-dr0?authuser=0&hl=en&rclk=1,,4.2,31,Restaurant,, Opens 7:30AM,Closes 10:30PM,https://lh5.googleusercontent.com/p/AF1QipMkQtREfdNaQWQYmbcPt-WZP4adzE61xI4YPC2J=w163-h92-k-no,Dine-in,Takeaway,No delivery
https://www.google.com/maps/place/New+Turkish+%26+Nepali+Kitchen+Kabap+House/data=!4m7!3m6!1s0x399595034cef0d19:0x32670bc1e11422ef!8m2!3d28.2084054!4d83.9639294!16s%2Fg%2F11gbp19wj6!19sChIJGQ3vTAOVlTkR7yIU4cELZzI?authuser=0&hl=en&rclk=1,New Turkish & Nepali Kitchen Kabap House,4.8,288,Restaurant,6X57+9H7, Opens 8AM,Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipOkgHM0S5Hg_Rlqg9dR3voG3wq-FMQHyWzy2pU1=w80-h106-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Trisara+Pokhara/data=!4m7!3m6!1s0x3995951e5e97c91b:0xc27a3dac2c253ff2!8m2!3d28.2104629!4d83.9564316!16s%2Fg%2F11c2q3chzb!19sChIJG8mXXh6VlTkR8j8lLKw9esI?authuser=0&hl=en&rclk=1,Trisara Pokhara,3.8,765,Restaurant,6X64+5HM, Opens 7AM,Closes 11PM,https://lh5.googleusercontent.com/p/AF1QipMVb9YD0iPdUVHIlkf07PenFVLtgBtG7OFHyViG=w122-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/The+Harbor/data=!4m7!3m6!1s0x3995951b753b51b1:0xee1cb7951c8c6510!8m2!3d28.2059631!4d83.9613218!16s%2Fg%2F11cncdy7_w!19sChIJsVE7dRuVlTkREGWMHJW3HO4?authuser=0&hl=en&rclk=1,The Harbor,4.1,161,Restaurant,6X46+9GP, Opens 7AM,Closes 10:30PM,https://lh5.googleusercontent.com/p/AF1QipPWSxYwD4t8VLZrI8tEP4lUSWOzUrTNH8BrepQq=w138-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Fresh+Elements+Restaurant+%26+Bar/data=!4m7!3m6!1s0x3995951e75301097:0x440c372df9db7af2!8m2!3d28.2113951!4d83.9582595!16s%2Fg%2F11d_w813t5!19sChIJlxAwdR6VlTkR8nrb-S03DEQ?authuser=0&hl=en&rclk=1,Fresh Elements Restaurant & Bar,4.6,"1,510",Restaurant,Middle Path St 16, Opens 7AM,Closes 4AM,https://lh5.googleusercontent.com/p/AF1QipPywowpylTd0A2gjcPooA9Nxnqx090tJlTe7fUr=w122-h92-k-no,Dine-in,Takeaway,Delivery
